,Country Code,Months Code,Year,Temp_Change,clusters,cluster
760,2,7016,2001,0.398,2,dark purple
761,2,7016,2002,1.611,2,dark purple
762,2,7016,2003,1.067,2,dark purple
763,2,7016,2004,1.881,2,dark purple
764,2,7016,2005,-0.355,2,dark purple
765,2,7016,2006,1.407,2,dark purple
766,2,7016,2007,0.135,2,dark purple
767,2,7016,2008,-2.734,2,dark purple
768,2,7016,2009,1.746,2,dark purple
769,2,7016,2010,2.046,2,dark purple
770,2,7016,2011,0.566,2,dark purple
771,2,7016,2012,-1.698,2,dark purple
772,2,7016,2013,0.887,2,dark purple
773,2,7016,2014,-0.47,2,dark purple
774,2,7016,2015,1.572,2,dark purple
775,2,7016,2016,2.038,2,dark purple
776,2,7016,2017,1.635,2,dark purple
777,2,7016,2018,1.826,2,dark purple
778,2,7016,2019,1.684,2,dark purple
779,2,7016,2020,1.286,2,dark purple
820,2,7017,2001,2.727,2,dark purple
821,2,7017,2002,1.451,2,dark purple
822,2,7017,2003,-0.106,2,dark purple
823,2,7017,2004,1.916,2,dark purple
824,2,7017,2005,0.291,2,dark purple
825,2,7017,2006,2.505,2,dark purple
826,2,7017,2007,1.579,2,dark purple
827,2,7017,2008,2.982,2,dark purple
828,2,7017,2009,0.985,2,dark purple
829,2,7017,2010,2.637,2,dark purple
830,2,7017,2011,2.172,2,dark purple
831,2,7017,2012,0.826,2,dark purple
832,2,7017,2013,1.267,2,dark purple
833,2,7017,2014,0.613,2,dark purple
834,2,7017,2015,1.088,2,dark purple
835,2,7017,2016,2.306,2,dark purple
836,2,7017,2017,1.933,2,dark purple
837,2,7017,2018,2.359,2,dark purple
838,2,7017,2019,0.76,2,dark purple
839,2,7017,2020,0.731,2,dark purple
880,2,7018,2001,1.075,2,dark purple
881,2,7018,2002,0.881,2,dark purple
882,2,7018,2003,0.875,2,dark purple
883,2,7018,2004,0.629,2,dark purple
884,2,7018,2005,0.713,2,dark purple
885,2,7018,2006,0.973,2,dark purple
886,2,7018,2007,0.642,2,dark purple
887,2,7018,2008,1.607,2,dark purple
888,2,7018,2009,0.269,2,dark purple
889,2,7018,2010,0.677,2,dark purple
890,2,7018,2011,1.77,2,dark purple
891,2,7018,2012,1.068,2,dark purple
892,2,7018,2013,1.368,2,dark purple
893,2,7018,2014,1.04,2,dark purple
894,2,7018,2015,1.092,2,dark purple
895,2,7018,2016,1.031,2,dark purple
896,2,7018,2017,1.125,2,dark purple
897,2,7018,2018,1.741,2,dark purple
898,2,7018,2019,1.018,2,dark purple
899,2,7018,2020,1.173,2,dark purple
940,2,7019,2001,1.221,2,dark purple
941,2,7019,2002,1.5,2,dark purple
942,2,7019,2003,0.691,2,dark purple
943,2,7019,2004,1.055,2,dark purple
944,2,7019,2005,1.261,2,dark purple
945,2,7019,2006,2.131,2,dark purple
946,2,7019,2007,0.624,2,dark purple
947,2,7019,2008,1.337,2,dark purple
948,2,7019,2009,0.928,2,dark purple
949,2,7019,2010,1.419,2,dark purple
950,2,7019,2011,1.344,2,dark purple
951,2,7019,2012,0.938,2,dark purple
952,2,7019,2013,1.779,2,dark purple
953,2,7019,2014,0.962,2,dark purple
954,2,7019,2015,0.912,2,dark purple
955,2,7019,2016,0.949,2,dark purple
956,2,7019,2017,1.81,2,dark purple
957,2,7019,2018,0.801,2,dark purple
958,2,7019,2019,1.038,2,dark purple
